author_name,birth_date,death_date,author_date,biography,photo,ol_key,created_by,created_at,last_modified_by,last_modified_at,revision
"Dav Pilkey","1966",null,null,null,"11938305","/authors/OL24815A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Isaac Asimov","2 January 1920","6 April 1992",null,"Asimov was born sometime between October 4, 1919 and January 2, 1920 in Petrovichi in Smolensk Oblast, RSFSR (now Russia), the son of a Jewish family of millers.  Although his exact date of birth is uncertain, Asimov himself celebrated it on January 2.  His family emigrated to Brooklyn, New York and opened a candy store when he was three years old.  He taught himself to read at the age of five. He began reading the science fiction pulp magazines that his family's store carried. Around the age of eleven, he began to write his own stories, and by age nineteen, he was selling them to the science fiction magazines. He graduated from Columbia University in 1939. He married Gertrude Blugerman in 1942.  During World War II he worked as a civilian at the Philadelphia Navy Yard's Naval Air Experimental Station.  After the war, he returned to Columbia University and earned a Ph.D. in biochemistry in 1948.  He then joined the faculty of the Boston University School of Medicine until 1958, when he became a full-time writer. His first novel, [Pebble in the Sky](https://openlibrary.org/works/OL46402W), was published in 1950. He and his wife divorced in 1973, and he married Janet O. Jeppson the same year. He was a highly prolific writer, having written or edited more than 500 books and an estimated 9,000 letters and postcards.","7425151","/authors/OL34221A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Neal Stephenson","31 Oct 1959",null,null,"Neal Town Stephenson (born October 31, 1959) is an American writer and game designer known for his works of speculative fiction. His novels have been categorized as science fiction, historical fiction, cyberpunk, postcyberpunk, and baroque.    Stephenson's work explores subjects such as mathematics, cryptography, linguistics, philosophy, currency, and the history of science. He also writes non-fiction articles about technology in publications such as *Wired*. He has also written novels with his uncle, George Jewsbury ('J. Frederick George'), under the collective pseudonym Stephen Bury.    Stephenson has worked part-time as an advisor for Blue Origin, a company (funded by Jeff Bezos) developing a manned sub-orbital launch system, and is also a cofounder of Subutai Corporation, whose first offering is the interactive fiction project *The Mongoliad*. He is currently Magic Leap's Chief Futurist.    **Source**: <a href=https://en.wikipedia.org/wiki/Neal_Stephenson'>Neal Stephenson</a> on Wikipedia (Wikipedia contributors, <a href='https://en.wikipedia.org/wiki/Wikipedia:Text_of_Creative_Commons_Attribution-ShareAlike_3.0_Unported_License'>CC BY-SA 2.0</a>)","6593945","/authors/OL19430A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Jeannette Walls","April 21, 1960",null,null,"Jeannette Walls is a writer and journalist. Born in Phoenix, Arizona, she graduated with honors from Barnard College, the women's college affiliated with Columbia University.","7402425","/authors/OL34287A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Colleen Hoover","December 11, 1979",null,null,"Colleen Hoover is the #1 New York Times and International bestselling author of multiple novels and novellas. She lives in Texas with her husband and their three boys. She is the founder of The Bookworm Box, a non-profit book subscription service and bookstore in Sulphur Springs, Texas.     For more information and for a schedule of events, please visit colleenhoover.com.     To contact Colleen and her team (Her team's name is Stephanie), please email hooverink@outlook.com","14323006","/authors/OL7315784A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Wayne Wang","1949",null,null,null,null,"/authors/OL6454978A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Gwendoline Yeo",null,null,null,null,null,"/authors/OL6590931A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Arnaud Regnauld",null,null,null,null,null,"/authors/OL7127028A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Douglas Adams","11 March 1952","11 May 2001",null,"Douglas Adams was born in Cambridge in March 1952. He was creator of all the various manifestations of *The Hitchhiker's Guide to the Galaxy*.    Douglas died unexpectedly in May 2001 of a sudden heart attack at the age of 49.","6387387","/authors/OL272947A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Agatha Christie","15 September 1890","12 January 1976",null,"Agatha Mary Clarissa Miller was born in Torquay, Devon, in the United Kingdom, the daughter of a wealthy American stockbroker. Her father died when she was eleven years old. Her mother taught her at home, encouraging her to write at a very young age. At the age of 16, she went to Mrs. Dryden's finishing school in Paris to study singing and piano. In 1914, at age 24, she married Colonel Archibald Christie, an aviator in the Royal Flying Corps. While he went away to war, she worked as a nurse and wrote her first novel, The Mysterious Affair at Styles (1920), which wasn't published until four years later. When her husband came back from the war, they had a daughter. In 1928 she divorced her husband, who had been having an affair. In 1930, she married Sir Max Mallowan, an archaeologist and a Catholic. She was happy in the early years of her second marriage, and did not divorce her husband despite his many affairs. She travelled with her husband's job, and set several of her novels set in the Middle East. Most of her other novels were set in a fictionalized Devon, where she was born.    Agatha Christie is credited with developing the 'cozy style' of mystery, which became popular in, and ultimately defined, the Golden Age of fiction in England in the 1920s and '30s, an age of which she is considered to have been Queen. In all, she wrote over 66 novels, numerous short stories and screenplays, and a series of romantic novels using the pen name Mary Westmacott. She was the single most popular mystery writer of all time. In 1971 she was made a Dame Commander of the Order of the British Empire.","5539485","/authors/OL27695A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Robert C. O'Brien","1922","1973",null,"Robert C. O'Brien In real life, Robert C. O'Brien was Robert Leslie Conly. He was born in Brooklyn, New York, attended Williams College and graduated from the Universtiy of Rochester. While there he studied piano at Eastman School of Music, and at one time considered being a musician. Instead, he became an editor and writer for Newsweek magazine from 1941 to 1944, and for Pathfinder from 1946 to 1951. From 1951 until the time of his death in 1973 he was employed as a writer and editor by the National Geographic Magazine. He made his home in New York City before 1944 and in Washington, D.C. after that. He also had a home in Morgan County, West Virginia, after 1965, a place he loved and visited as often as he could. He was married and the father of one son and three daughters. His books include The Silver Crown, Mrs. Frisby and the Rats of NIMH, which won the Newbery Award, and A Report From Group 17. His last book, Z is for Zachariah was nearly completed at the time of his death; the last few chapters were written from notes by this wife and one of his daughters.","14608615","/authors/OL1120852A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Ernest Cline",null,null,null,null,null,"/authors/OL13613169A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Gary Goldschneider and Joost Elffers",null,null,null,null,null,"/authors/OL11437274A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Rik Mayall",null,null,null,null,null,"/authors/OL2624130A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Richie Chevat",null,null,null,null,null,"/authors/OL92896A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Patrick Marcel",null,null,null,null,null,"/authors/OL3113904A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Elisabetta Dami","1958-01-01",null,null,"Elisabetta Dami (born 1 January 1958) is an Italian children's book author who is famous as the creator of the character Geronimo Stilton.","12384623","/authors/OL2703408A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Neil Gaiman","10 November 1960",null,null,"Neil Richard MacKinnon Gaiman born Neil Richard Gaiman, 10 November 1960) is an English author of short fiction, novels, comic books, graphic novels, audio theatre, and films. His notable works include the comic book series The Sandman and novels Stardust, American Gods, Coraline, and The Graveyard Book. He has won numerous awards, including the Hugo, Nebula, and Bram Stoker awards, as well as the Newbery and Carnegie medals. He is the first author to win both the Newbery and the Carnegie medals for the same work, The Graveyard Book (2008). In 2013, The Ocean at the End of the Lane was voted Book of the Year in the British National Book Awards.","7277125","/authors/OL53305A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Joseph Nguyen",null,null,null,null,null,"/authors/OL10478572A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Tamsyn Muir",null,null,null,null,"11557463","/authors/OL7483937A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Becky Albertalli",null,null,null,null,null,"/authors/OL7290350A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Chinua Achebe","1930","2013",null,"Africa's most famous and illustrious black novelist. Nigerian born writer of powerful fiction, poetry, literary criticism, and children's books","6290429","/authors/OL78910A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"C.S. Lewis","29 November 1898","22 November 1963",null,"Clive Staples Lewis was an Irish-born British novelist, academic, medievalist, literary critic, essayist, lay theologian and Christian apologist.","6453240","/authors/OL31574A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Jack Thorne","1978",null,null,null,null,"/authors/OL5231739A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Donald A. Norman","25 December 1935",null,null,"Donald Arthur Norman, a founder of The Cognitive Science Society, is an expert of cognitive science and is widely considered to be the first to apply advanced human factors to design via cognitive design. - [*Wikipedia*][1]        [1]: http://en.wikipedia.org/wiki/Donald_Norman","6347885","/authors/OL224976A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Kevin Behr",null,null,null,null,null,"/authors/OL3030719A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"William Goldman","1931",null,null,null,"11615544","/authors/OL30421A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Angie Thomas","1988-09-20",null,null,"Angie Thomas was born, raised, and still resides in Jackson, Mississippi. She is a former teen rapper whose greatest accomplishment was an article about her in Right-On Magazine. She holds a BFA in Creative Writing from Belhaven University.  ([source][1])        [1]: http://angiethomas.com/about","8249179","/authors/OL7370073A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Lewis Carroll","January 27, 1832","January 14, 1898",null,"Lewis Carroll is well known throughout the world as the author of  Alice's Adventures in Wonderland and  Through the Looking-Glass. Behind the famous pseudonym was Charles Lutwidge Dodgson, a mathematical lecturer at Oxford University with remarkably diverse talents. ([Source][1].)        [1]: http://lewiscarrollsociety.org.uk/pages/lewiscarroll/life.html","6285807","/authors/OL22098A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Jordi Fibla",null,null,null,null,null,"/authors/OL3202983A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Dr. Seuss","March 2, 1904","September 24, 1991",null,"Theodor Seuss Geisel was born on in Springfield, Massachusetts to German-American parents.  He attended public schools and then went to Dartmouth College, where he became editor of the Dartmouth _Jack-O-Lantern_.  When he was barred from all extracurricular activities, he continued to write for the paper using the pseudonym 'Seuss.'  After he graduated he became a contributor to the magazine The Judge, and began to sign his work as 'Dr. Seuss.'  He attended Lincoln College, Oxford to earn a D.Phil in literature, but married Helen Palmer in 1927 and returned to the United States without earning the degree.  He published humorous articles and illustrations in _The Judge_, _The Saturday Evening Post_, _Life_, _Vanity Fair_, and _Liberty_ and supported himself and his wife through the Great Depression with commercial illustrations for General Electric, NBC, Standard Oil, and many other companies.  He also wrote and drew a short-lived comic strip called _Hejji_ in 1935.  In 1937, returning from an ocean voyage to Europe, he wrote his first book, _And to Think That I Saw It on Mulberry Street_.  When World War II began, he began to create political cartoons and became an editorial cartoonist for the left-wing New York City newspaper, _PM_.  His political cartoons were later published in _Dr. Seuss Goes to War_.  In 1942, he began producing propaganda posters for the Treasury Department and the War Production Board.  In 1943, he joined the Animation Department of the First Motion Picture Unit of the U.S. Army Air Forces, where he wrote propaganda and training films.  After the war, he and his wife moved to La Jolla, California.  He returning to writing and illustrating children's books.  In 1954, _Life_ magazine published an article on the dullness of children's books, and Geisel was inspired to write _The Cat in the Hat_.  In 1967, his wife Helen committed suicide.  He married Audrey Stone Dimond in 1968.  Geisel died in La Jolla, California in 1991.    Over the course of his career, Geisel wrote over 60 children's books, either under the pseudonym 'Dr. Seuss' for the ones he wrote and illustrated himself, 'Theo. LeSieg' for books he wrote but others illustrated, or 'Rosetta Stone' for _Because a Little Bug Went Ka-choo_ (1975).  He also wrote two books for adults:  _The Seven Lady Godivas_; _Oh, The Places You'll Go!_; and _You're Only Old Once_.","5541279","/authors/OL2622837A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Sharon L. Lechter",null,null,null,null,"12880020","/authors/OL2711033A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Shannon Messenger",null,null,null,null,"9424951","/authors/OL7051946A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"George Spafford",null,null,null,null,null,"/authors/OL3030721A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Bill Martin Jr.","1916","2004",null,null,"14649310","/authors/OL28506A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Suzanne Elise Freeman",null,null,null,null,null,"/authors/OL8594751A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Kira Breed-Wrisley",null,null,null,null,null,"/authors/OL10348560A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Lluís Delgado",null,null,null,null,null,"/authors/OL10826538A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Rick Riordan","5 Jun 1964",null,null,null,"14401292","/authors/OL30765A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Sam McBratney","1943","2020",null,null,null,"/authors/OL34796A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Alice Walker","1944",null,null,"An American novelist, short-story writer, poet, essayist, and activist.","6458539","/authors/OL217774A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"John Steinbeck","27 February 1902","20 December 1968",null,"John Steinbeck was an American writer. He wrote the Pulitzer Prize-winning novel *The Grapes of Wrath* (1939) and the novella *Of Mice and Men* (1937). He wrote a total of 27 books, including 16 novels, six non-fiction books, and five collections of short stories. In 1962, Steinbeck received the Nobel Prize for Literature ([Source][1]).    [1]:https://en.wikipedia.org/wiki/John_Steinbeck","5721508","/authors/OL25788A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Arthur C. Clarke","16 December 1917","19 March 2008",null,"Sir Arthur Charles Clarke CBE FRAS was a British science fiction writer, science writer and futurist, inventor, undersea explorer, and television series host.    He is famous for being co-writer of the screenplay for the 1968 film 2001: A Space Odyssey, widely considered to be one of the most influential films of all time. Clarke was a science writer, who was both an avid populariser of space travel and a futurist of uncanny ability. On these subjects he wrote over a dozen books and many essays, which appeared in various popular magazines. In 1961 he was awarded the Kalinga Prize, an award which is given by UNESCO for popularising science. These along with his science fiction writings eventually earned him the moniker 'Prophet of the Space Age'. His other science fiction writings earned him a number of Hugo and Nebula awards, which along with a large readership made him one of the towering figures of science fiction. For many years Clarke, Robert Heinlein and Isaac Asimov were known as the 'Big Three' of science fiction.    Clarke was a lifelong proponent of space travel. In 1934, while still a teenager, he joined the British Interplanetary Society. In 1945, he proposed a satellite communication system using geostationary orbits. He was the chairman of the British Interplanetary Society from 1946–1947 and again in 1951–1953.    Clarke emigrated from England to Sri Lanka (formerly Ceylon) in 1956, largely to pursue his interest in scuba diving. That year he discovered the underwater ruins of the ancient Koneswaram temple in Trincomalee. Clarke augmented his fame later on in the 1980s, from being the host of several television shows such as Arthur C. Clarke's Mysterious World. He lived in Sri Lanka until his death.    Clarke was appointed Commander of the Order of the British Empire (CBE) in 1989 'for services to British cultural interests in Sri Lanka'. He was knighted in 1998 and was awarded Sri Lanka's highest civil honour, Sri Lankabhimanya, in 2005.    ---From Wikipedia","6173804","/authors/OL2623461A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Andrew Hunt",null,null,null,null,null,"/authors/OL2670651A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Raul Nagore",null,null,null,null,null,"/authors/OL9608312A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Diana Wynne Jones","16 August 1934","26 March 2011",null,"A British writer, principally of fantasy novels for children and adults as well as a small amount of non-fiction.","6752729","/authors/OL31384A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"George S. Clason",null,null,null,null,null,"/authors/OL2725690A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Holly Black","10 November 1971",null,null,"American writer of fantasy novels for kids and teens.","7284384","/authors/OL1430285A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Scott Cawthon","4 Jun 1971",null,null,null,"14544748","/authors/OL7400619A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Zena Bernstein",null,null,null,null,null,"/authors/OL8127916A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
"Robert Jordan",null,null,null,null,null,"/authors/OL7484618A","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26","a2bec9ef-28a6-41cb-937b-adaf51dd5ca7","2025-02-27 17:04:26",1
