alternate_name,author_id,last_created_by,last_created_at,last_modified_by,last_modified_at
'J Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Mme. Jane Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Au,Jane Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Aositing',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane Jane AUSTEN',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane Austen Jane Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'jane jane austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'AUSTEN,JANE',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane 1775-1817 Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane JANE AUSTEN',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Austen, Jane, Jane',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Ao si ding (Austen, Jane, 1775-1817)',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane Jane',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'&#3659;Jane Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane Austen Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'J.: Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jame Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Austen (J)',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane Austin',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Janes Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Austen, Jane',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane Austen.',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'&#3659;&#3659;Jane Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'AUSTEN. Jane.',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane Austen,Jane Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'jane-austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Austen,Jane',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Austen Jane 1775-1817',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane 1775-1817 Persuasion Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'AUSTEN JANE',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'( YING ) AO SI DING ZHU . CHEN YAN HAO DENG BIAN YI',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane; Jane Austen',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'[Austen, Jane]',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane Austene',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'AUSTEN',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Austin Austin',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jane Austem',6,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Jerry E. Pournelle',7,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'J. Pournelle',7,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'J. E. Pournelle',7,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Shirley Hardie Jackson',8,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Robert Toru Kiyosaki',9,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Robert Kiyosaki',9,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'KIYOSAKI',9,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Kiyosaki',9,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'ROBERT T. KIYOSAKI',9,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Kiyosaki Robert',9,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Rpbert T. Kiyosaki',9,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Robert T Kiyosaki',9,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Dave Pilkey',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Pi Er Qi',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'PILKEY',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'David Pilkey',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'George Beard',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Beard, George, Hutchins, Harold',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Harold Hutchins George Beard',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Dav Polkey',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Dav Pikey',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Sue Denim',11,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Dr. A',12,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'The Good Doctor',12,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Isaak Judovič',12,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Azimov Ayzek',12,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Issac Azimov',12,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Isaak Asimov',12,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Isaac Asimoc',12,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Aximofu',12,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Stephenson, Neal',13,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Neal Town Stephenson',13,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'N. Stephenson',13,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'neal stephenson',13,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'NEAL STEPHENSON',13,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Stephenson Neal',13,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Margaret Colleen Fennell',15,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Margaret Fennell',15,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Colleen Fennell',15,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Margaret Hoover',15,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'콜린 후버',15,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'C. Hoover',15,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Cooleen Hoover',15,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Hoover  Colleen',15,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Collen Hoover',15,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Adams Douglas',19,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'DOUGLAS ADAMS',19,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Agatha Christie Mallowan',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Agatha. Christie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Agatha Miller Christie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'AGATHA. CHRISTIE',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Agatha, Christie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Christie, Agatha, 1890-1976',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Christie Dame Agatha.',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Christie, Agatha Dame Agatha.',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Agatha Chr.istie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'CHRISTIE, Agatha Dame.',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'CHRISTIE, AGATHA, 1890-1976.',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Christie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Mary Westmacott (Agatha Christie)',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Dame Agatha Christie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Agatha Christie.',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Christie Agatha',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'( YING ) A JIA SHA KE LI SI DI DIAO KE LI YI',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Mary Westmacott',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Westmacott, Mary pseud',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'agatha Chirstie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'agatha christie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Agatha Agatha Christie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Agatha Christe',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Aghata Christie',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'Ke li si di',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
'AGATHA CHRISTIE',20,'a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57','a2bec9ef-28a6-41cb-937b-adaf51dd5ca7','2025-02-24 23:14:57'
